,Covariates,Feature_Importance,iteration
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,19.46,1
28,SG_SOC_Content_005cm,18.73777777777778,1
1,CHELSA_BIO_Annual_Mean_Temperature,17.084444444444443,1
29,SG_Sand_Content_005cm,12.14,1
4,CHELSA_BIO_Precipitation_Seasonality,11.944444444444445,1
0,CGIAR_PET,6.98,1
25,MODIS_NPP,6.36,1
14,EarthEnvTexture_Correlation_EVI,6.24,1
2,CHELSA_BIO_Annual_Precipitation,5.144444444444444,1
23,GlobBiomass_AboveGroundBiomass,5.0200000000000005,1
19,EarthEnvTopoMed_Slope,4.02,1
13,EarthEnvTexture_CoOfVar_EVI,3.2,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,3.0999999999999996,1
17,EarthEnvTopoMed_AspectSine,2.5,1
18,EarthEnvTopoMed_Elevation,1.44,1
30,SG_Soil_pH_H2O_005cm,1.14,1
20,EarthEnvTopoMed_TopoPositionIndex,1.1066666666666667,1
22,GHS_Population_Density,0.9666666666666668,1
16,EarthEnvTopoMed_AspectCosine,0.6399999999999999,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.6399999999999999,1
5,ConsensusLandCoverClass_Barren,0.6399999999999999,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.5,1
11,ConsensusLandCoverClass_Shrubs,0.31999999999999995,1
15,EarthEnvTexture_Homogeneity_EVI,0.31999999999999995,1
27,SG_Depth_to_bedrock,0.30000000000000004,1
12,ConsensusLandCover_Human_Development_Percentage,0.16666666666666669,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.16666666666666669,1
21,EsaCci_BurntAreasProbability,0.0,1
24,GlobPermafrost_PermafrostExtent,0.0,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.0,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,26.60388888888889,2
29,SG_Sand_Content_005cm,20.282222222222224,2
28,SG_SOC_Content_005cm,16.26066893424037,2
23,GlobBiomass_AboveGroundBiomass,10.454240362811793,2
1,CHELSA_BIO_Annual_Mean_Temperature,7.917777777777777,2
4,CHELSA_BIO_Precipitation_Seasonality,7.813333333333334,2
2,CHELSA_BIO_Annual_Precipitation,7.50888888888889,2
25,MODIS_NPP,6.964444444444443,2
19,EarthEnvTopoMed_Slope,4.9799999999999995,2
17,EarthEnvTopoMed_AspectSine,3.6094444444444442,2
10,ConsensusLandCoverClass_Mixed_Other_Trees,3.462222222222221,2
14,EarthEnvTexture_Correlation_EVI,3.0866666666666664,2
20,EarthEnvTopoMed_TopoPositionIndex,3.053333333333333,2
27,SG_Depth_to_bedrock,2.9599999999999995,2
9,ConsensusLandCoverClass_Herbaceous_Vegetation,2.7266666666666657,2
13,EarthEnvTexture_CoOfVar_EVI,2.533333333333333,2
0,CGIAR_PET,2.4644444444444447,2
30,SG_Soil_pH_H2O_005cm,2.431111111111111,2
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,1.7622222222222226,2
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,1.5177777777777777,2
12,ConsensusLandCover_Human_Development_Percentage,1.226984126984127,2
22,GHS_Population_Density,1.1444444444444446,2
16,EarthEnvTopoMed_AspectCosine,0.9599999999999999,2
15,EarthEnvTexture_Homogeneity_EVI,0.9000000000000001,2
18,EarthEnvTopoMed_Elevation,0.7777777777777778,2
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.4444444444444444,2
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.3914285714285714,2
11,ConsensusLandCoverClass_Shrubs,0.35333333333333333,2
21,EsaCci_BurntAreasProbability,0.0,2
24,GlobPermafrost_PermafrostExtent,0.0,2
5,ConsensusLandCoverClass_Barren,0.0,2
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,19.92,3
19,EarthEnvTopoMed_Slope,16.14,3
29,SG_Sand_Content_005cm,11.280000000000001,3
27,SG_Depth_to_bedrock,10.14,3
17,EarthEnvTopoMed_AspectSine,9.64,3
25,MODIS_NPP,8.124444444444444,3
28,SG_SOC_Content_005cm,7.760000000000001,3
1,CHELSA_BIO_Annual_Mean_Temperature,7.119999999999999,3
0,CGIAR_PET,5.679999999999999,3
23,GlobBiomass_AboveGroundBiomass,5.584444444444444,3
4,CHELSA_BIO_Precipitation_Seasonality,5.199999999999999,3
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,4.94,3
16,EarthEnvTopoMed_AspectCosine,3.7199999999999998,3
2,CHELSA_BIO_Annual_Precipitation,3.142222222222222,3
14,EarthEnvTexture_Correlation_EVI,2.5599999999999996,3
20,EarthEnvTopoMed_TopoPositionIndex,2.24,3
22,GHS_Population_Density,1.8022222222222222,3
15,EarthEnvTexture_Homogeneity_EVI,1.54,3
13,EarthEnvTexture_CoOfVar_EVI,1.2799999999999998,3
30,SG_Soil_pH_H2O_005cm,1.2599999999999998,3
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.2200000000000002,3
12,ConsensusLandCover_Human_Development_Percentage,0.9533333333333334,3
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.92,3
18,EarthEnvTopoMed_Elevation,0.31999999999999995,3
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.31999999999999995,3
21,EsaCci_BurntAreasProbability,0.0,3
11,ConsensusLandCoverClass_Shrubs,0.0,3
24,GlobPermafrost_PermafrostExtent,0.0,3
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.0,3
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,3
5,ConsensusLandCoverClass_Barren,0.0,3
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,24.348888888888887,4
14,EarthEnvTexture_Correlation_EVI,15.364444444444445,4
10,ConsensusLandCoverClass_Mixed_Other_Trees,10.280000000000001,4
19,EarthEnvTopoMed_Slope,9.8,4
23,GlobBiomass_AboveGroundBiomass,8.962222222222223,4
29,SG_Sand_Content_005cm,8.844444444444445,4
18,EarthEnvTopoMed_Elevation,7.404444444444445,4
13,EarthEnvTexture_CoOfVar_EVI,6.74,4
28,SG_SOC_Content_005cm,6.7111111111111095,4
17,EarthEnvTopoMed_AspectSine,6.206666666666667,4
15,EarthEnvTexture_Homogeneity_EVI,5.199999999999999,4
25,MODIS_NPP,3.6599999999999993,4
2,CHELSA_BIO_Annual_Precipitation,3.3999999999999995,4
20,EarthEnvTopoMed_TopoPositionIndex,2.84,4
1,CHELSA_BIO_Annual_Mean_Temperature,2.326666666666666,4
30,SG_Soil_pH_H2O_005cm,2.206666666666667,4
12,ConsensusLandCover_Human_Development_Percentage,2.2,4
22,GHS_Population_Density,2.011111111111111,4
16,EarthEnvTopoMed_AspectCosine,1.88,4
4,CHELSA_BIO_Precipitation_Seasonality,1.7422222222222223,4
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.9599999999999999,4
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.8,4
5,ConsensusLandCoverClass_Barren,0.6399999999999999,4
0,CGIAR_PET,0.62,4
27,SG_Depth_to_bedrock,0.6000000000000001,4
21,EsaCci_BurntAreasProbability,0.31999999999999995,4
11,ConsensusLandCoverClass_Shrubs,0.16666666666666669,4
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.0,4
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,4
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.0,4
24,GlobPermafrost_PermafrostExtent,0.0,4
28,SG_SOC_Content_005cm,22.868888888888893,5
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,21.864444444444445,5
29,SG_Sand_Content_005cm,14.600000000000001,5
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,8.040000000000001,5
1,CHELSA_BIO_Annual_Mean_Temperature,7.904444444444445,5
19,EarthEnvTopoMed_Slope,7.3999999999999995,5
17,EarthEnvTopoMed_AspectSine,6.939999999999999,5
0,CGIAR_PET,6.704444444444444,5
25,MODIS_NPP,5.217777777777777,5
4,CHELSA_BIO_Precipitation_Seasonality,4.666666666666666,5
23,GlobBiomass_AboveGroundBiomass,4.2377777777777785,5
20,EarthEnvTopoMed_TopoPositionIndex,4.119999999999999,5
27,SG_Depth_to_bedrock,3.519999999999999,5
30,SG_Soil_pH_H2O_005cm,3.4044444444444446,5
16,EarthEnvTopoMed_AspectCosine,3.2800000000000002,5
13,EarthEnvTexture_CoOfVar_EVI,2.26,5
14,EarthEnvTexture_Correlation_EVI,2.0,5
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.366666666666667,5
2,CHELSA_BIO_Annual_Precipitation,1.3222222222222222,5
22,GHS_Population_Density,0.8066666666666666,5
15,EarthEnvTexture_Homogeneity_EVI,0.7866666666666666,5
12,ConsensusLandCover_Human_Development_Percentage,0.6333333333333334,5
21,EsaCci_BurntAreasProbability,0.31999999999999995,5
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.31999999999999995,5
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.31999999999999995,5
5,ConsensusLandCoverClass_Barren,0.31999999999999995,5
11,ConsensusLandCoverClass_Shrubs,0.30000000000000004,5
18,EarthEnvTopoMed_Elevation,0.30000000000000004,5
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.0,5
24,GlobPermafrost_PermafrostExtent,0.0,5
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,5
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,21.793333333333333,6
29,SG_Sand_Content_005cm,18.00388888888889,6
30,SG_Soil_pH_H2O_005cm,13.904444444444445,6
23,GlobBiomass_AboveGroundBiomass,11.520000000000001,6
28,SG_SOC_Content_005cm,11.295510204081634,6
1,CHELSA_BIO_Annual_Mean_Temperature,9.946666666666669,6
4,CHELSA_BIO_Precipitation_Seasonality,8.18,6
12,ConsensusLandCover_Human_Development_Percentage,6.099999999999999,6
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,5.760000000000001,6
0,CGIAR_PET,5.64,6
2,CHELSA_BIO_Annual_Precipitation,3.9399999999999995,6
25,MODIS_NPP,2.4466666666666663,6
27,SG_Depth_to_bedrock,2.3,6
20,EarthEnvTopoMed_TopoPositionIndex,2.184444444444445,6
22,GHS_Population_Density,2.0844444444444443,6
18,EarthEnvTopoMed_Elevation,1.9266666666666667,6
14,EarthEnvTexture_Correlation_EVI,1.9066666666666667,6
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.4266666666666663,6
17,EarthEnvTopoMed_AspectSine,0.9533333333333334,6
15,EarthEnvTexture_Homogeneity_EVI,0.94,6
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.6399999999999999,6
13,EarthEnvTexture_CoOfVar_EVI,0.6399999999999999,6
11,ConsensusLandCoverClass_Shrubs,0.6111111111111112,6
19,EarthEnvTopoMed_Slope,0.5,6
16,EarthEnvTopoMed_AspectCosine,0.31999999999999995,6
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.31999999999999995,6
5,ConsensusLandCoverClass_Barren,0.31999999999999995,6
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.07142857142857145,6
21,EsaCci_BurntAreasProbability,0.0,6
24,GlobPermafrost_PermafrostExtent,0.0,6
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.0,6
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,21.724444444444444,7
1,CHELSA_BIO_Annual_Mean_Temperature,16.78,7
29,SG_Sand_Content_005cm,15.600000000000001,7
28,SG_SOC_Content_005cm,10.344444444444445,7
10,ConsensusLandCoverClass_Mixed_Other_Trees,9.944444444444445,7
17,EarthEnvTopoMed_AspectSine,7.9799999999999995,7
16,EarthEnvTopoMed_AspectCosine,7.579999999999999,7
0,CGIAR_PET,6.0,7
25,MODIS_NPP,4.666666666666667,7
13,EarthEnvTexture_CoOfVar_EVI,4.319999999999999,7
