,Covariates,Feature_Importance,iteration
1,CHELSA_BIO_Annual_Mean_Temperature,22.30888888888889,1
29,SG_Sand_Content_005cm,19.073333333333338,1
28,SG_SOC_Content_005cm,15.237777777777783,1
4,CHELSA_BIO_Precipitation_Seasonality,11.584444444444447,1
0,CGIAR_PET,10.08888888888889,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,6.1466666666666665,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,5.58,1
23,GlobBiomass_AboveGroundBiomass,5.166666666666666,1
20,EarthEnvTopoMed_TopoPositionIndex,4.7444444444444445,1
30,SG_Soil_pH_H2O_005cm,3.9511111111111115,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,3.8999999999999995,1
25,MODIS_NPP,3.5999999999999996,1
13,EarthEnvTexture_CoOfVar_EVI,3.3688888888888884,1
17,EarthEnvTopoMed_AspectSine,3.2599999999999993,1
12,ConsensusLandCover_Human_Development_Percentage,2.897777777777778,1
14,EarthEnvTexture_Correlation_EVI,2.3799999999999994,1
18,EarthEnvTopoMed_Elevation,2.34,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,2.3200000000000003,1
15,EarthEnvTexture_Homogeneity_EVI,2.1999999999999997,1
2,CHELSA_BIO_Annual_Precipitation,1.7000000000000002,1
22,GHS_Population_Density,1.2799999999999998,1
16,EarthEnvTopoMed_AspectCosine,1.2799999999999998,1
19,EarthEnvTopoMed_Slope,1.2200000000000002,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,1.1266666666666665,1
11,ConsensusLandCoverClass_Shrubs,0.82,1
27,SG_Depth_to_bedrock,0.7444444444444445,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.6399999999999999,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.31999999999999995,1
21,EsaCci_BurntAreasProbability,0.16666666666666669,1
24,GlobPermafrost_PermafrostExtent,0.0,1
5,ConsensusLandCoverClass_Barren,0.0,1
1,CHELSA_BIO_Annual_Mean_Temperature,26.392777777777777,2
28,SG_SOC_Content_005cm,16.93944444444445,2
29,SG_Sand_Content_005cm,13.38166666666667,2
4,CHELSA_BIO_Precipitation_Seasonality,11.537777777777778,2
13,EarthEnvTexture_CoOfVar_EVI,11.039444444444445,2
23,GlobBiomass_AboveGroundBiomass,8.584444444444442,2
0,CGIAR_PET,7.026666666666666,2
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,6.199954648526078,2
19,EarthEnvTopoMed_Slope,5.126666666666666,2
22,GHS_Population_Density,4.766111111111111,2
15,EarthEnvTexture_Homogeneity_EVI,4.17111111111111,2
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,4.073333333333333,2
18,EarthEnvTopoMed_Elevation,3.5894444444444438,2
16,EarthEnvTopoMed_AspectCosine,3.1022222222222218,2
25,MODIS_NPP,3.066984126984127,2
14,EarthEnvTexture_Correlation_EVI,2.604444444444445,2
30,SG_Soil_pH_H2O_005cm,2.3911111111111105,2
17,EarthEnvTopoMed_AspectSine,2.1933333333333334,2
20,EarthEnvTopoMed_TopoPositionIndex,2.0999999999999996,2
11,ConsensusLandCoverClass_Shrubs,1.6916666666666669,2
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,1.5999999999999996,2
9,ConsensusLandCoverClass_Herbaceous_Vegetation,1.5799999999999996,2
12,ConsensusLandCover_Human_Development_Percentage,1.5511111111111109,2
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.462222222222222,2
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.6666666666666667,2
2,CHELSA_BIO_Annual_Precipitation,0.62,2
27,SG_Depth_to_bedrock,0.48666666666666664,2
5,ConsensusLandCoverClass_Barren,0.31999999999999995,2
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,2
24,GlobPermafrost_PermafrostExtent,0.0,2
21,EsaCci_BurntAreasProbability,0.0,2
1,CHELSA_BIO_Annual_Mean_Temperature,22.753333333333334,3
4,CHELSA_BIO_Precipitation_Seasonality,17.98888888888889,3
28,SG_SOC_Content_005cm,14.008888888888894,3
29,SG_Sand_Content_005cm,12.984444444444446,3
0,CGIAR_PET,12.053333333333335,3
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,5.6000000000000005,3
20,EarthEnvTopoMed_TopoPositionIndex,5.511111111111111,3
13,EarthEnvTexture_CoOfVar_EVI,5.04,3
14,EarthEnvTexture_Correlation_EVI,4.406666666666666,3
30,SG_Soil_pH_H2O_005cm,4.164444444444444,3
23,GlobBiomass_AboveGroundBiomass,4.086666666666666,3
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,3.962222222222222,3
25,MODIS_NPP,3.786666666666666,3
2,CHELSA_BIO_Annual_Precipitation,3.7266666666666666,3
10,ConsensusLandCoverClass_Mixed_Other_Trees,3.165,3
18,EarthEnvTopoMed_Elevation,2.806666666666667,3
19,EarthEnvTopoMed_Slope,2.5349999999999993,3
16,EarthEnvTopoMed_AspectCosine,2.0866666666666664,3
22,GHS_Population_Density,2.06,3
