,Covariates,Feature_Importance,iteration
28,SG_SOC_Content_005cm,37.46653594505168,1
1,CHELSA_BIO_Annual_Mean_Temperature,27.618529003316546,1
0,CGIAR_PET,27.036003763987768,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,26.019145787901707,1
4,CHELSA_BIO_Precipitation_Seasonality,12.209273260617332,1
29,SG_Sand_Content_005cm,10.22971377187497,1
23,GlobBiomass_AboveGroundBiomass,8.03717234431998,1
19,EarthEnvTopoMed_Slope,7.301831342753153,1
30,SG_Soil_pH_H2O_005cm,4.7954793262238775,1
25,MODIS_NPP,4.5914375593618155,1
15,EarthEnvTexture_Homogeneity_EVI,4.212075014685247,1
13,EarthEnvTexture_CoOfVar_EVI,4.106388793143189,1
2,CHELSA_BIO_Annual_Precipitation,3.845070474406667,1
18,EarthEnvTopoMed_Elevation,3.237255799597784,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,2.603300050918348,1
27,SG_Depth_to_bedrock,2.428368270193916,1
16,EarthEnvTopoMed_AspectCosine,2.099256808760394,1
20,EarthEnvTopoMed_TopoPositionIndex,2.022436284145649,1
14,EarthEnvTexture_Correlation_EVI,1.643187271189748,1
5,ConsensusLandCoverClass_Barren,1.6009641387741853,1
11,ConsensusLandCoverClass_Shrubs,1.4655414154568576,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.269368570474102,1
12,ConsensusLandCover_Human_Development_Percentage,1.243162176252977,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,1.180345100387766,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,1.1542908407903156,1
22,GHS_Population_Density,0.7835397255151126,1
21,EsaCci_BurntAreasProbability,0.4830514682837118,1
17,EarthEnvTopoMed_AspectSine,0.45890242804730336,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.4444444444444444,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.06444444444444442,1
24,GlobPermafrost_PermafrostExtent,0.0,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,34.5534807744914,2
28,SG_SOC_Content_005cm,29.50528084666041,2
1,CHELSA_BIO_Annual_Mean_Temperature,26.70123728095972,2
0,CGIAR_PET,24.754631884384477,2
4,CHELSA_BIO_Precipitation_Seasonality,12.833984120617053,2
23,GlobBiomass_AboveGroundBiomass,11.374042325468574,2
29,SG_Sand_Content_005cm,10.041251276568971,2
19,EarthEnvTopoMed_Slope,6.960745826155454,2
2,CHELSA_BIO_Annual_Precipitation,5.507055916057826,2
25,MODIS_NPP,4.692542502681398,2
30,SG_Soil_pH_H2O_005cm,4.407745010049969,2
18,EarthEnvTopoMed_Elevation,3.6181581322663825,2
15,EarthEnvTexture_Homogeneity_EVI,2.864226826659191,2
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,2.7677175893709713,2
13,EarthEnvTexture_CoOfVar_EVI,2.5115067627127003,2
14,EarthEnvTexture_Correlation_EVI,2.463214099768165,2
12,ConsensusLandCover_Human_Development_Percentage,2.340999891459564,2
11,ConsensusLandCoverClass_Shrubs,2.194777189287145,2
27,SG_Depth_to_bedrock,1.92284176211816,2
16,EarthEnvTopoMed_AspectCosine,1.7742540628331949,2
22,GHS_Population_Density,1.5275426724157484,2
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.2328957469590436,2
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,1.2221546527881368,2
5,ConsensusLandCoverClass_Barren,1.217638888888889,2
17,EarthEnvTopoMed_AspectSine,1.010483201541693,2
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.8496726915119037,2
20,EarthEnvTopoMed_TopoPositionIndex,0.5557246840528891,2
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.4444444444444444,2
21,EsaCci_BurntAreasProbability,0.3597635740620284,2
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.0,2
24,GlobPermafrost_PermafrostExtent,0.0,2
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,36.80883997428923,3
1,CHELSA_BIO_Annual_Mean_Temperature,29.345318400650644,3
28,SG_SOC_Content_005cm,23.971147608488586,3
0,CGIAR_PET,22.38785602340845,3
4,CHELSA_BIO_Precipitation_Seasonality,16.499474954013515,3
29,SG_Sand_Content_005cm,8.904803034727644,3
23,GlobBiomass_AboveGroundBiomass,8.401898662871721,3
2,CHELSA_BIO_Annual_Precipitation,5.636299430409946,3
11,ConsensusLandCoverClass_Shrubs,4.970078328904595,3
25,MODIS_NPP,4.449326155743792,3
15,EarthEnvTexture_Homogeneity_EVI,3.563979056379604,3
13,EarthEnvTexture_CoOfVar_EVI,3.424051682411144,3
12,ConsensusLandCover_Human_Development_Percentage,2.8850581098911006,3
30,SG_Soil_pH_H2O_005cm,2.719688942356024,3
19,EarthEnvTopoMed_Slope,2.3850532966188855,3
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,1.741676481717542,3
27,SG_Depth_to_bedrock,1.7135721383806182,3
18,EarthEnvTopoMed_Elevation,1.6597709813608428,3
22,GHS_Population_Density,1.1714785066098516,3
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,1.0019314924391847,3
20,EarthEnvTopoMed_TopoPositionIndex,0.9916091493489626,3
14,EarthEnvTexture_Correlation_EVI,0.8826325086254022,3
16,EarthEnvTopoMed_AspectCosine,0.8269715293524816,3
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.7627778883437781,3
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.7009888776447218,3
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.6207946738674991,3
21,EsaCci_BurntAreasProbability,0.6151014591811368,3
5,ConsensusLandCoverClass_Barren,0.3877954144620811,3
17,EarthEnvTopoMed_AspectSine,0.19094518735981258,3
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.12837499896017907,3
24,GlobPermafrost_PermafrostExtent,0.0,3
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,32.89165710392551,4
1,CHELSA_BIO_Annual_Mean_Temperature,27.31736870673026,4
28,SG_SOC_Content_005cm,25.69661044581359,4
0,CGIAR_PET,24.64013306590159,4
4,CHELSA_BIO_Precipitation_Seasonality,12.722580399023112,4
29,SG_Sand_Content_005cm,10.593348521694745,4
23,GlobBiomass_AboveGroundBiomass,8.271911372401169,4
11,ConsensusLandCoverClass_Shrubs,5.936373814898306,4
25,MODIS_NPP,4.248236713004012,4
19,EarthEnvTopoMed_Slope,3.9123526381302067,4
2,CHELSA_BIO_Annual_Precipitation,3.3659850181057203,4
18,EarthEnvTopoMed_Elevation,2.855834340356037,4
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,2.6830081610180416,4
12,ConsensusLandCover_Human_Development_Percentage,2.605217913043128,4
30,SG_Soil_pH_H2O_005cm,2.5999863916186143,4
