,Covariates,Feature_Importance,iteration
28,SG_SOC_Content_005cm,24.159977609494117,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,22.936602430477095,1
1,CHELSA_BIO_Annual_Mean_Temperature,21.066477257687755,1
0,CGIAR_PET,20.47811170769477,1
2,CHELSA_BIO_Annual_Precipitation,13.188721017992997,1
4,CHELSA_BIO_Precipitation_Seasonality,9.692435564061695,1
12,ConsensusLandCover_Human_Development_Percentage,7.8782271537308155,1
25,MODIS_NPP,4.927719825622756,1
29,SG_Sand_Content_005cm,3.3572522414461368,1
30,SG_Soil_pH_H2O_005cm,2.784975784008124,1
13,EarthEnvTexture_CoOfVar_EVI,2.1805045119235005,1
18,EarthEnvTopoMed_Elevation,1.810666004426964,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,1.4540188071903417,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.3315266183259262,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,1.2228890273019828,1
27,SG_Depth_to_bedrock,1.2122145328719722,1
20,EarthEnvTopoMed_TopoPositionIndex,1.1963315622106832,1
19,EarthEnvTopoMed_Slope,1.146288977025462,1
15,EarthEnvTexture_Homogeneity_EVI,1.0702575811476696,1
22,GHS_Population_Density,0.8565156365576535,1
16,EarthEnvTopoMed_AspectCosine,0.6326530612244898,1
24,GlobPermafrost_PermafrostExtent,0.5,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.4444444444444444,1
11,ConsensusLandCoverClass_Shrubs,0.40392561983471076,1
5,ConsensusLandCoverClass_Barren,0.40307128768667216,1
14,EarthEnvTexture_Correlation_EVI,0.275576897425637,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.1527777777777778,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.1130298273155417,1
17,EarthEnvTopoMed_AspectSine,0.0,1
21,EsaCci_BurntAreasProbability,0.0,1
23,GlobBiomass_AboveGroundBiomass,0.0,1
28,SG_SOC_Content_005cm,25.910826664200613,2
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,23.619392173877007,2
0,CGIAR_PET,20.57281650592187,2
1,CHELSA_BIO_Annual_Mean_Temperature,20.371001373920922,2
2,CHELSA_BIO_Annual_Precipitation,14.463219379129619,2
4,CHELSA_BIO_Precipitation_Seasonality,9.03594126645779,2
12,ConsensusLandCover_Human_Development_Percentage,7.975372666239129,2
