,Covariates,Feature_Importance,iteration
1,CHELSA_BIO_Annual_Mean_Temperature,36.00668033331055,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,29.34023725879546,1
0,CGIAR_PET,26.748418727239965,1
4,CHELSA_BIO_Precipitation_Seasonality,21.131513546442875,1
28,SG_SOC_Content_005cm,20.981080343917064,1
30,SG_Soil_pH_H2O_005cm,11.438413821455717,1
12,ConsensusLandCover_Human_Development_Percentage,8.150728828216694,1
23,GlobBiomass_AboveGroundBiomass,6.132652124973105,1
18,EarthEnvTopoMed_Elevation,5.340332729672162,1
27,SG_Depth_to_bedrock,4.91316679208356,1
11,ConsensusLandCoverClass_Shrubs,4.118669380058884,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,3.654290350489248,1
15,EarthEnvTexture_Homogeneity_EVI,3.643656974004183,1
13,EarthEnvTexture_CoOfVar_EVI,3.418970187253094,1
2,CHELSA_BIO_Annual_Precipitation,2.844576221398354,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,2.2670049523941103,1
22,GHS_Population_Density,2.209372421793751,1
17,EarthEnvTopoMed_AspectSine,2.0078328741473066,1
29,SG_Sand_Content_005cm,1.403777793578245,1
19,EarthEnvTopoMed_Slope,1.3917256955823318,1
5,ConsensusLandCoverClass_Barren,1.0322360543060782,1
20,EarthEnvTopoMed_TopoPositionIndex,0.9623937327195884,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.9425601039636127,1
16,EarthEnvTopoMed_AspectCosine,0.8646068207287368,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.7822861808250836,1
14,EarthEnvTexture_Correlation_EVI,0.6237685553829445,1
21,EsaCci_BurntAreasProbability,0.5966305088958893,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.5138888888888888,1
25,MODIS_NPP,0.40111298989049865,1
24,GlobPermafrost_PermafrostExtent,0.06342381080354742,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.03397154940407532,1
1,CHELSA_BIO_Annual_Mean_Temperature,37.29219751370203,2
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,31.04268708571879,2
0,CGIAR_PET,27.944474023586913,2
28,SG_SOC_Content_005cm,22.95770418078946,2
4,CHELSA_BIO_Precipitation_Seasonality,19.582272980687026,2
30,SG_Soil_pH_H2O_005cm,12.143080153309857,2
23,GlobBiomass_AboveGroundBiomass,8.166985265757257,2
12,ConsensusLandCover_Human_Development_Percentage,5.795181726492731,2
13,EarthEnvTexture_CoOfVar_EVI,4.939068717681998,2
18,EarthEnvTopoMed_Elevation,4.313205855043392,2
11,ConsensusLandCoverClass_Shrubs,4.133277180890181,2
22,GHS_Population_Density,3.905984306343079,2
27,SG_Depth_to_bedrock,3.4507484668616417,2
29,SG_Sand_Content_005cm,3.1838661730324054,2
2,CHELSA_BIO_Annual_Precipitation,3.070229086095776,2
10,ConsensusLandCoverClass_Mixed_Other_Trees,2.840057644141117,2
17,EarthEnvTopoMed_AspectSine,2.6452362753643515,2
15,EarthEnvTexture_Homogeneity_EVI,2.4436537132733482,2
20,EarthEnvTopoMed_TopoPositionIndex,1.7189377936917851,2
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,1.5681090454236148,2
19,EarthEnvTopoMed_Slope,1.5282991862215054,2
16,EarthEnvTopoMed_AspectCosine,1.4076280823292517,2
25,MODIS_NPP,1.2441077928714106,2
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,1.096506207581704,2
21,EsaCci_BurntAreasProbability,0.8493081403855889,2
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.6707224284995514,2
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.6593137024392843,2
5,ConsensusLandCoverClass_Barren,0.5989439576319473,2
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.4012345679012346,2
14,EarthEnvTexture_Correlation_EVI,0.15117228673727812,2
24,GlobPermafrost_PermafrostExtent,0.03447214527546938,2
1,CHELSA_BIO_Annual_Mean_Temperature,36.23459730089749,3
0,CGIAR_PET,30.156368291611987,3
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,27.409001631416135,3
28,SG_SOC_Content_005cm,24.130678876579456,3
4,CHELSA_BIO_Precipitation_Seasonality,19.735025050404303,3
30,SG_Soil_pH_H2O_005cm,13.236505584785828,3
23,GlobBiomass_AboveGroundBiomass,8.65378878953251,3
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,7.497851901877818,3
17,EarthEnvTopoMed_AspectSine,6.163410374889294,3
12,ConsensusLandCover_Human_Development_Percentage,5.283313937442429,3
27,SG_Depth_to_bedrock,4.898274226130802,3
29,SG_Sand_Content_005cm,4.394809427573438,3
2,CHELSA_BIO_Annual_Precipitation,4.354424385578396,3
18,EarthEnvTopoMed_Elevation,4.268890926681585,3
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,3.621950940319724,3
15,EarthEnvTexture_Homogeneity_EVI,3.5835450768147656,3
16,EarthEnvTopoMed_AspectCosine,3.4744516811674657,3
11,ConsensusLandCoverClass_Shrubs,3.35275157731826,3
20,EarthEnvTopoMed_TopoPositionIndex,2.9320363022667166,3
25,MODIS_NPP,2.7230168491126774,3
10,ConsensusLandCoverClass_Mixed_Other_Trees,2.5002846182864826,3
13,EarthEnvTexture_CoOfVar_EVI,2.1567818054320984,3
22,GHS_Population_Density,2.0915462255204353,3
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,1.1345883147155016,3
19,EarthEnvTopoMed_Slope,1.1079252026193247,3
14,EarthEnvTexture_Correlation_EVI,0.9962838805899757,3
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.9494785438997825,3
21,EsaCci_BurntAreasProbability,0.8627239052127604,3
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.8214550839270618,3
5,ConsensusLandCoverClass_Barren,0.6631944444444444,3
24,GlobPermafrost_PermafrostExtent,0.07204073759133289,3
1,CHELSA_BIO_Annual_Mean_Temperature,33.7313382627747,4
0,CGIAR_PET,28.11468290450268,4
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,27.284348406988972,4
28,SG_SOC_Content_005cm,21.295537026403807,4
4,CHELSA_BIO_Precipitation_Seasonality,21.038015276369187,4
30,SG_Soil_pH_H2O_005cm,11.893918154342156,4
11,ConsensusLandCoverClass_Shrubs,5.152170868978286,4
12,ConsensusLandCover_Human_Development_Percentage,4.878223470807913,4
23,GlobBiomass_AboveGroundBiomass,4.215377280381705,4
18,EarthEnvTopoMed_Elevation,3.6678794679316975,4
10,ConsensusLandCoverClass_Mixed_Other_Trees,3.3504801004943188,4
13,EarthEnvTexture_CoOfVar_EVI,1.9755709057526945,4
20,EarthEnvTopoMed_TopoPositionIndex,1.9726618872246877,4
2,CHELSA_BIO_Annual_Precipitation,1.9001776799662178,4
17,EarthEnvTopoMed_AspectSine,1.7843710028006867,4
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,1.5653341672293348,4
15,EarthEnvTexture_Homogeneity_EVI,1.5219480527278866,4
29,SG_Sand_Content_005cm,1.4393214426119965,4
27,SG_Depth_to_bedrock,1.2828092704080087,4
19,EarthEnvTopoMed_Slope,1.0900760440023514,4
22,GHS_Population_Density,1.067013333152828,4
14,EarthEnvTexture_Correlation_EVI,1.017910746480157,4
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,1.008911665076695,4
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.9861532201403569,4
16,EarthEnvTopoMed_AspectCosine,0.9430063919253311,4
25,MODIS_NPP,0.8975057025422909,4
5,ConsensusLandCoverClass_Barren,0.5342826511661852,4
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.5,4
21,EsaCci_BurntAreasProbability,0.4269136668658299,4
24,GlobPermafrost_PermafrostExtent,0.031737773152965665,4
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.0,4
1,CHELSA_BIO_Annual_Mean_Temperature,37.095300589477695,5
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,31.584649510019325,5
4,CHELSA_BIO_Precipitation_Seasonality,23.755593854910465,5
0,CGIAR_PET,23.45244980065444,5
28,SG_SOC_Content_005cm,20.30276799612303,5
30,SG_Soil_pH_H2O_005cm,12.390417743027633,5
23,GlobBiomass_AboveGroundBiomass,8.744504938856279,5
12,ConsensusLandCover_Human_Development_Percentage,5.73261707552093,5
18,EarthEnvTopoMed_Elevation,5.362583717524487,5
15,EarthEnvTexture_Homogeneity_EVI,4.886970576689318,5
