,Covariates,Feature_Importance,iteration
4,CHELSA_BIO_Precipitation_Seasonality,15.375,1
28,SG_SOC_Content_005cm,14.375,1
13,EarthEnvTexture_CoOfVar_EVI,13.125,1
27,SG_Depth_to_bedrock,12.375,1
1,CHELSA_BIO_Annual_Mean_Temperature,12.25,1
0,CGIAR_PET,10.855,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,10.375,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,9.75,1
19,EarthEnvTopoMed_Slope,9.25,1
20,EarthEnvTopoMed_TopoPositionIndex,3.75,1
14,EarthEnvTexture_Correlation_EVI,3.375,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,2.375,1
30,SG_Soil_pH_H2O_005cm,2.0,1
22,GHS_Population_Density,1.98,1
25,MODIS_NPP,1.375,1
15,EarthEnvTexture_Homogeneity_EVI,1.25,1
11,ConsensusLandCoverClass_Shrubs,1.0,1
23,GlobBiomass_AboveGroundBiomass,0.85,1
29,SG_Sand_Content_005cm,0.75,1
2,CHELSA_BIO_Annual_Precipitation,0.475,1
18,EarthEnvTopoMed_Elevation,0.375,1
24,GlobPermafrost_PermafrostExtent,0.375,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.375,1
16,EarthEnvTopoMed_AspectCosine,0.25,1
17,EarthEnvTopoMed_AspectSine,0.25,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.25,1
12,ConsensusLandCover_Human_Development_Percentage,0.25,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,1
21,EsaCci_BurntAreasProbability,0.0,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.0,1
5,ConsensusLandCoverClass_Barren,0.0,1
4,CHELSA_BIO_Precipitation_Seasonality,13.355,2
28,SG_SOC_Content_005cm,12.73,2
13,EarthEnvTexture_CoOfVar_EVI,12.625,2
29,SG_Sand_Content_005cm,11.375,2
1,CHELSA_BIO_Annual_Mean_Temperature,10.375,2
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,10.125,2
27,SG_Depth_to_bedrock,10.0,2
19,EarthEnvTopoMed_Slope,9.0,2
0,CGIAR_PET,8.375,2
9,ConsensusLandCoverClass_Herbaceous_Vegetation,8.0,2
25,MODIS_NPP,4.5,2
2,CHELSA_BIO_Annual_Precipitation,4.0,2
14,EarthEnvTexture_Correlation_EVI,3.5,2
15,EarthEnvTexture_Homogeneity_EVI,2.75,2
30,SG_Soil_pH_H2O_005cm,1.75,2
17,EarthEnvTopoMed_AspectSine,1.5,2
23,GlobBiomass_AboveGroundBiomass,1.25,2
11,ConsensusLandCoverClass_Shrubs,1.0,2
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.375,2
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.375,2
20,EarthEnvTopoMed_TopoPositionIndex,0.25,2
12,ConsensusLandCover_Human_Development_Percentage,0.22499999999999998,2
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.09999999999999998,2
21,EsaCci_BurntAreasProbability,0.0,2
24,GlobPermafrost_PermafrostExtent,0.0,2
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.0,2
18,EarthEnvTopoMed_Elevation,0.0,2
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,2
16,EarthEnvTopoMed_AspectCosine,0.0,2
5,ConsensusLandCoverClass_Barren,0.0,2
22,GHS_Population_Density,0.0,2
28,SG_SOC_Content_005cm,17.0,3
4,CHELSA_BIO_Precipitation_Seasonality,15.125,3
13,EarthEnvTexture_CoOfVar_EVI,12.5,3
1,CHELSA_BIO_Annual_Mean_Temperature,12.125,3
27,SG_Depth_to_bedrock,12.0,3
9,ConsensusLandCoverClass_Herbaceous_Vegetation,11.625,3
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,9.875,3
19,EarthEnvTopoMed_Slope,9.5,3
23,GlobBiomass_AboveGroundBiomass,5.48,3
25,MODIS_NPP,4.25,3
17,EarthEnvTopoMed_AspectSine,4.25,3
0,CGIAR_PET,3.875,3
18,EarthEnvTopoMed_Elevation,3.5,3
20,EarthEnvTopoMed_TopoPositionIndex,1.75,3
12,ConsensusLandCover_Human_Development_Percentage,1.375,3
14,EarthEnvTexture_Correlation_EVI,0.875,3
29,SG_Sand_Content_005cm,0.875,3
15,EarthEnvTexture_Homogeneity_EVI,0.625,3
11,ConsensusLandCoverClass_Shrubs,0.625,3
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.375,3
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.25,3
30,SG_Soil_pH_H2O_005cm,0.25,3
2,CHELSA_BIO_Annual_Precipitation,0.09999999999999998,3
16,EarthEnvTopoMed_AspectCosine,0.0,3
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.0,3
21,EsaCci_BurntAreasProbability,0.0,3
22,GHS_Population_Density,0.0,3
24,GlobPermafrost_PermafrostExtent,0.0,3
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,3
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.0,3
5,ConsensusLandCoverClass_Barren,0.0,3
28,SG_SOC_Content_005cm,19.105,4
13,EarthEnvTexture_CoOfVar_EVI,16.125,4
14,EarthEnvTexture_Correlation_EVI,14.25,4
27,SG_Depth_to_bedrock,14.125,4
9,ConsensusLandCoverClass_Herbaceous_Vegetation,13.375,4
1,CHELSA_BIO_Annual_Mean_Temperature,8.125,4
4,CHELSA_BIO_Precipitation_Seasonality,5.73,4
19,EarthEnvTopoMed_Slope,5.375,4
25,MODIS_NPP,5.25,4
20,EarthEnvTopoMed_TopoPositionIndex,4.838333333333333,4
0,CGIAR_PET,4.75,4
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,3.875,4
18,EarthEnvTopoMed_Elevation,3.75,4
2,CHELSA_BIO_Annual_Precipitation,3.75,4
23,GlobBiomass_AboveGroundBiomass,2.1694444444444443,4
17,EarthEnvTopoMed_AspectSine,1.75,4
16,EarthEnvTopoMed_AspectCosine,1.5,4
29,SG_Sand_Content_005cm,1.375,4
15,EarthEnvTexture_Homogeneity_EVI,1.25,4
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.725,4
22,GHS_Population_Density,0.375,4
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.375,4
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.375,4
12,ConsensusLandCover_Human_Development_Percentage,0.35,4
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.25,4
11,ConsensusLandCoverClass_Shrubs,0.0,4
21,EsaCci_BurntAreasProbability,0.0,4
24,GlobPermafrost_PermafrostExtent,0.0,4
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,4
5,ConsensusLandCoverClass_Barren,0.0,4
30,SG_Soil_pH_H2O_005cm,0.0,4
4,CHELSA_BIO_Precipitation_Seasonality,15.75,5
28,SG_SOC_Content_005cm,15.48,5
27,SG_Depth_to_bedrock,13.25,5
0,CGIAR_PET,12.25,5
19,EarthEnvTopoMed_Slope,12.125,5
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,12.085,5
1,CHELSA_BIO_Annual_Mean_Temperature,11.0,5
9,ConsensusLandCoverClass_Herbaceous_Vegetation,10.375,5
20,EarthEnvTopoMed_TopoPositionIndex,4.75,5
13,EarthEnvTexture_CoOfVar_EVI,3.375,5
30,SG_Soil_pH_H2O_005cm,3.375,5
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,3.375,5
2,CHELSA_BIO_Annual_Precipitation,3.0,5
29,SG_Sand_Content_005cm,1.625,5
18,EarthEnvTopoMed_Elevation,1.5,5
11,ConsensusLandCoverClass_Shrubs,1.25,5
23,GlobBiomass_AboveGroundBiomass,1.1,5
25,MODIS_NPP,1.0,5
22,GHS_Population_Density,0.73,5
14,EarthEnvTexture_Correlation_EVI,0.625,5
17,EarthEnvTopoMed_AspectSine,0.5,5
16,EarthEnvTopoMed_AspectCosine,0.475,5
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.375,5
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.35,5
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.25,5
21,EsaCci_BurntAreasProbability,0.09999999999999998,5
24,GlobPermafrost_PermafrostExtent,0.0,5
5,ConsensusLandCoverClass_Barren,0.0,5
12,ConsensusLandCover_Human_Development_Percentage,0.0,5
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,5
15,EarthEnvTexture_Homogeneity_EVI,0.0,5
15,EarthEnvTexture_Homogeneity_EVI,14.75,6
28,SG_SOC_Content_005cm,14.75,6
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,13.25,6
23,GlobBiomass_AboveGroundBiomass,11.73,6
14,EarthEnvTexture_Correlation_EVI,11.5,6
13,EarthEnvTexture_CoOfVar_EVI,11.0,6
18,EarthEnvTopoMed_Elevation,8.25,6
19,EarthEnvTopoMed_Slope,6.375,6
9,ConsensusLandCoverClass_Herbaceous_Vegetation,5.625,6
4,CHELSA_BIO_Precipitation_Seasonality,3.5,6
10,ConsensusLandCoverClass_Mixed_Other_Trees,3.5,6
20,EarthEnvTopoMed_TopoPositionIndex,3.375,6
22,GHS_Population_Density,3.0,6
0,CGIAR_PET,2.75,6
27,SG_Depth_to_bedrock,2.625,6
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,2.625,6
17,EarthEnvTopoMed_AspectSine,2.5,6
1,CHELSA_BIO_Annual_Mean_Temperature,2.5,6
2,CHELSA_BIO_Annual_Precipitation,1.5,6
16,EarthEnvTopoMed_AspectCosine,1.125,6
12,ConsensusLandCover_Human_Development_Percentage,0.875,6
29,SG_Sand_Content_005cm,0.875,6
11,ConsensusLandCoverClass_Shrubs,0.625,6
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.5,6
25,MODIS_NPP,0.375,6
30,SG_Soil_pH_H2O_005cm,0.375,6
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.375,6
5,ConsensusLandCoverClass_Barren,0.09999999999999998,6
24,GlobPermafrost_PermafrostExtent,0.0,6
21,EsaCci_BurntAreasProbability,0.0,6
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.0,6
28,SG_SOC_Content_005cm,14.0,7
4,CHELSA_BIO_Precipitation_Seasonality,13.5,7
13,EarthEnvTexture_CoOfVar_EVI,12.25,7
22,GHS_Population_Density,12.21,7
19,EarthEnvTopoMed_Slope,10.875,7
27,SG_Depth_to_bedrock,10.5,7
1,CHELSA_BIO_Annual_Mean_Temperature,10.0,7
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,9.625,7
14,EarthEnvTexture_Correlation_EVI,9.5,7
9,ConsensusLandCoverClass_Herbaceous_Vegetation,8.5,7
25,MODIS_NPP,4.5,7
16,EarthEnvTopoMed_AspectCosine,2.5,7
30,SG_Soil_pH_H2O_005cm,2.125,7
18,EarthEnvTopoMed_Elevation,2.0,7
2,CHELSA_BIO_Annual_Precipitation,1.75,7
17,EarthEnvTopoMed_AspectSine,1.25,7
23,GlobBiomass_AboveGroundBiomass,1.225,7
20,EarthEnvTopoMed_TopoPositionIndex,0.75,7
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.375,7
15,EarthEnvTexture_Homogeneity_EVI,0.375,7
0,CGIAR_PET,0.25,7
12,ConsensusLandCover_Human_Development_Percentage,0.09999999999999998,7
21,EsaCci_BurntAreasProbability,0.0,7
11,ConsensusLandCoverClass_Shrubs,0.0,7
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.0,7
24,GlobPermafrost_PermafrostExtent,0.0,7
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.0,7
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,7
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.0,7
5,ConsensusLandCoverClass_Barren,0.0,7
29,SG_Sand_Content_005cm,0.0,7
28,SG_SOC_Content_005cm,13.0,8
1,CHELSA_BIO_Annual_Mean_Temperature,12.25,8
4,CHELSA_BIO_Precipitation_Seasonality,12.105,8
13,EarthEnvTexture_CoOfVar_EVI,10.875,8
19,EarthEnvTopoMed_Slope,10.375,8
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,10.25,8
27,SG_Depth_to_bedrock,10.0,8
14,EarthEnvTexture_Correlation_EVI,9.0,8
25,MODIS_NPP,5.5,8
15,EarthEnvTexture_Homogeneity_EVI,4.5,8
30,SG_Soil_pH_H2O_005cm,4.125,8
18,EarthEnvTopoMed_Elevation,4.0,8
9,ConsensusLandCoverClass_Herbaceous_Vegetation,3.5,8
22,GHS_Population_Density,3.5,8
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,3.25,8
17,EarthEnvTopoMed_AspectSine,2.75,8
23,GlobBiomass_AboveGroundBiomass,2.625,8
2,CHELSA_BIO_Annual_Precipitation,2.25,8
20,EarthEnvTopoMed_TopoPositionIndex,1.5,8
29,SG_Sand_Content_005cm,0.625,8
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.5,8
12,ConsensusLandCover_Human_Development_Percentage,0.475,8
11,ConsensusLandCoverClass_Shrubs,0.375,8
0,CGIAR_PET,0.25,8
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.25,8
24,GlobPermafrost_PermafrostExtent,0.0,8
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.0,8
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,8
5,ConsensusLandCoverClass_Barren,0.0,8
16,EarthEnvTopoMed_AspectCosine,0.0,8
21,EsaCci_BurntAreasProbability,0.0,8
4,CHELSA_BIO_Precipitation_Seasonality,13.73,9
13,EarthEnvTexture_CoOfVar_EVI,12.75,9
28,SG_SOC_Content_005cm,12.625,9
1,CHELSA_BIO_Annual_Mean_Temperature,12.125,9
27,SG_Depth_to_bedrock,12.0,9
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,9.73,9
0,CGIAR_PET,8.875,9
9,ConsensusLandCoverClass_Herbaceous_Vegetation,8.375,9
19,EarthEnvTopoMed_Slope,8.25,9
14,EarthEnvTexture_Correlation_EVI,8.0,9
29,SG_Sand_Content_005cm,5.125,9
20,EarthEnvTopoMed_TopoPositionIndex,3.0,9
18,EarthEnvTopoMed_Elevation,2.125,9
25,MODIS_NPP,2.0,9
30,SG_Soil_pH_H2O_005cm,1.875,9
22,GHS_Population_Density,1.73,9
15,EarthEnvTexture_Homogeneity_EVI,1.625,9
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.5,9
12,ConsensusLandCover_Human_Development_Percentage,1.35,9
23,GlobBiomass_AboveGroundBiomass,0.725,9
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.375,9
21,EsaCci_BurntAreasProbability,0.09999999999999998,9
16,EarthEnvTopoMed_AspectCosine,0.0,9
17,EarthEnvTopoMed_AspectSine,0.0,9
11,ConsensusLandCoverClass_Shrubs,0.0,9
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.0,9
24,GlobPermafrost_PermafrostExtent,0.0,9
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,9
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.0,9
5,ConsensusLandCoverClass_Barren,0.0,9
2,CHELSA_BIO_Annual_Precipitation,0.0,9
4,CHELSA_BIO_Precipitation_Seasonality,13.875,10
28,SG_SOC_Content_005cm,13.5,10
13,EarthEnvTexture_CoOfVar_EVI,13.0,10
1,CHELSA_BIO_Annual_Mean_Temperature,11.875,10
27,SG_Depth_to_bedrock,11.5,10
0,CGIAR_PET,10.5,10
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,9.375,10
9,ConsensusLandCoverClass_Herbaceous_Vegetation,9.0,10
15,EarthEnvTexture_Homogeneity_EVI,7.125,10
10,ConsensusLandCoverClass_Mixed_Other_Trees,6.25,10
25,MODIS_NPP,4.25,10
20,EarthEnvTopoMed_TopoPositionIndex,3.0,10
29,SG_Sand_Content_005cm,3.0,10
19,EarthEnvTopoMed_Slope,2.5,10
2,CHELSA_BIO_Annual_Precipitation,2.125,10
30,SG_Soil_pH_H2O_005cm,1.75,10
22,GHS_Population_Density,1.5,10
16,EarthEnvTopoMed_AspectCosine,0.875,10
11,ConsensusLandCoverClass_Shrubs,0.875,10
12,ConsensusLandCover_Human_Development_Percentage,0.625,10
14,EarthEnvTexture_Correlation_EVI,0.375,10
24,GlobPermafrost_PermafrostExtent,0.375,10
23,GlobBiomass_AboveGroundBiomass,0.25,10
17,EarthEnvTopoMed_AspectSine,0.0,10
18,EarthEnvTopoMed_Elevation,0.0,10
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,0.0,10
21,EsaCci_BurntAreasProbability,0.0,10
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,10
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,0.0,10
5,ConsensusLandCoverClass_Barren,0.0,10
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.0,10
