sample_id,latitude,longitude,unite_sh,source
10009,52.91126795,13.85341878,SH1238253_08FU,global_fungi
10148,52.25,5.63,SH1238253_08FU,global_fungi
10201,46.33,15.2,SH1238253_08FU,global_fungi
10278,49.27026736,16.71916517,SH1238253_08FU,global_fungi
10298,49.3111101,16.65740556,SH1238253_08FU,global_fungi
1030,49.27898345,16.71767847,SH1238253_08FU,global_fungi
10349,55.98726197,12.25085014,SH1238253_08FU,global_fungi
10350,55.98726197,12.25085014,SH1238253_08FU,global_fungi
10359,56.28731419,10.47165215,SH1238253_08FU,global_fungi
10362,49.2822969,16.63458204,SH1238253_08FU,global_fungi
10367,49.28154739,16.62124157,SH1238253_08FU,global_fungi
10368,49.29034152,16.70662324,SH1238253_08FU,global_fungi
10384,49.30328303,16.74737922,SH1238253_08FU,global_fungi
10385,49.30214773,16.74571583,SH1238253_08FU,global_fungi
10395,49.27898345,16.71767847,SH1238253_08FU,global_fungi
10405,49.30328303,16.74737922,SH1238253_08FU,global_fungi
10406,56.28731419,10.47165215,SH1238253_08FU,global_fungi
10421,49.29036934,16.6192279,SH1238253_08FU,global_fungi
10428,49.32493388,16.65274324,SH1238253_08FU,global_fungi
10436,49.29718392,16.76218389,SH1238253_08FU,global_fungi
10438,49.30328303,16.74737922,SH1238253_08FU,global_fungi
10458,49.30120689,16.64520046,SH1238253_08FU,global_fungi
10463,49.315702,16.725744,SH1238253_08FU,global_fungi
10529,52.25,5.63,SH1238253_08FU,global_fungi
10530,55.98726197,12.25085014,SH1238253_08FU,global_fungi
10811,51.271436,10.311229,SH1238253_08FU,global_fungi
10828,49.3174786,16.62821054,SH1238253_08FU,global_fungi
10831,51.271436,10.311229,SH1238253_08FU,global_fungi
10845,49.29490555,16.68807241,SH1238253_08FU,global_fungi
10882,51.271436,10.311229,SH1238253_08FU,global_fungi
11032,49.045967,13.617667,SH1238253_08FU,global_fungi
11033,49.043017,13.6182,SH1238253_08FU,global_fungi
11034,49.043017,13.6182,SH1238253_08FU,global_fungi
11203,52.25,5.63,SH1238253_08FU,global_fungi
11257,55.01130815,8.959030055,SH1238253_08FU,global_fungi
11604,46.33,15.2,SH1238253_08FU,global_fungi
12051,49.044033,13.61705,SH1238253_08FU,global_fungi
12100,48.77656893,13.8552011,SH1238253_08FU,global_fungi
12451,46.33,15.2,SH1238253_08FU,global_fungi
12459,55.69123563,9.752402725,SH1238253_08FU,global_fungi
12534,49.26835436,16.6920829,SH1238253_08FU,global_fungi
12535,51.271436,10.311229,SH1238253_08FU,global_fungi
12703,49.313081,16.684671,SH1238253_08FU,global_fungi
12737,52.25,5.63,SH1238253_08FU,global_fungi
12789,49.32493388,16.65274324,SH1238253_08FU,global_fungi
12791,49.283366,16.648021,SH1238253_08FU,global_fungi
12843,49.042733,13.616167,SH1238253_08FU,global_fungi
12919,55.20709468,8.950998317,SH1238253_08FU,global_fungi
12920,49.32502104,16.65293883,SH1238253_08FU,global_fungi
13104,49.283366,16.648021,SH1238253_08FU,global_fungi
13105,52.25,5.63,SH1238253_08FU,global_fungi
13108,51.271436,10.311229,SH1238253_08FU,global_fungi
13178,49.044033,13.61705,SH1238253_08FU,global_fungi
13207,55.01130815,8.959030055,SH1238253_08FU,global_fungi
13364,52.25,5.63,SH1238253_08FU,global_fungi
13437,52.25,5.63,SH1238253_08FU,global_fungi
13462,49.32493388,16.65274324,SH1238253_08FU,global_fungi
13466,52.25,5.63,SH1238253_08FU,global_fungi
13475,49.30769876,16.61782192,SH1238253_08FU,global_fungi
13602,52.25,5.63,SH1238253_08FU,global_fungi
13684,52.25,5.63,SH1238253_08FU,global_fungi
13721,49.293659,16.660247,SH1238253_08FU,global_fungi
13789,46.33,15.2,SH1238253_08FU,global_fungi
13886,46.33,15.2,SH1238253_08FU,global_fungi
14121,49.28154739,16.62124157,SH1238253_08FU,global_fungi
14146,49.04485,13.618017,SH1238253_08FU,global_fungi
14149,52.25,5.63,SH1238253_08FU,global_fungi
14226,51.271436,10.311229,SH1238253_08FU,global_fungi
14248,52.25,5.63,SH1238253_08FU,global_fungi
14332,49.30328303,16.74737922,SH1238253_08FU,global_fungi
14379,55.29300077,9.05938754,SH1238253_08FU,global_fungi
14527,55.29300077,9.05938754,SH1238253_08FU,global_fungi
14547,49.043133,13.617083,SH1238253_08FU,global_fungi
15113,52.25,5.63,SH1238253_08FU,global_fungi
15571,49.30424835,16.68655805,SH1238253_08FU,global_fungi
15577,49.26412493,16.63903551,SH1238253_08FU,global_fungi
15595,52.25,5.63,SH1238253_08FU,global_fungi
15755,49.29938098,16.61894468,SH1238253_08FU,global_fungi
15798,52.25,5.63,SH1238253_08FU,global_fungi
15975,52.25,5.63,SH1238253_08FU,global_fungi
15976,52.25,5.63,SH1238253_08FU,global_fungi
15978,52.25,5.63,SH1238253_08FU,global_fungi
16218,49.284314,16.661869,SH1238253_08FU,global_fungi
16241,49.04485,13.618017,SH1238253_08FU,global_fungi
16406,49.044033,13.61705,SH1238253_08FU,global_fungi
16464,49.042733,13.616167,SH1238253_08FU,global_fungi
16607,49.043133,13.617083,SH1238253_08FU,global_fungi
17148,55.69123563,9.752402725,SH1238253_08FU,global_fungi
17270,55.29300077,9.05938754,SH1238253_08FU,global_fungi
17276,52.25,5.63,SH1238253_08FU,global_fungi
17578,52.25,5.63,SH1238253_08FU,global_fungi
1758,53.05703356,13.88536623,SH1238253_08FU,global_fungi
17949,52.25,5.63,SH1238253_08FU,global_fungi
17983,49.27408339,16.6357162,SH1238253_08FU,global_fungi
18154,52.25,5.63,SH1238253_08FU,global_fungi
18220,49.042733,13.616167,SH1238253_08FU,global_fungi
18808,51.26387813,10.24095787,SH1238253_08FU,global_fungi
18809,51.26387813,10.24095787,SH1238253_08FU,global_fungi
18815,51.271436,10.311229,SH1238253_08FU,global_fungi
1894,49.312548,16.645243,SH1238253_08FU,global_fungi
19296,52.25,5.63,SH1238253_08FU,global_fungi
19347,52.25,5.63,SH1238253_08FU,global_fungi
19350,52.25,5.63,SH1238253_08FU,global_fungi
19352,49.29718392,16.76218389,SH1238253_08FU,global_fungi
19359,52.25,5.63,SH1238253_08FU,global_fungi
20321,51.271436,10.311229,SH1238253_08FU,global_fungi
20435,48.6680644,14.7046819,SH1238253_08FU,global_fungi
21140,49.043133,13.617083,SH1238253_08FU,global_fungi
22222,49.30328303,16.74737922,SH1238253_08FU,global_fungi
23061,49.043017,13.6182,SH1238253_08FU,global_fungi
2317,46.33,15.2,SH1238253_08FU,global_fungi
3527,46.33,15.2,SH1238253_08FU,global_fungi
3745,48.77657654,13.85522703,SH1238253_08FU,global_fungi
4207,49.32493388,16.65274324,SH1238253_08FU,global_fungi
4208,51.271436,10.311229,SH1238253_08FU,global_fungi
4209,46.33,15.2,SH1238253_08FU,global_fungi
4210,52.25,5.63,SH1238253_08FU,global_fungi
4211,46.33,15.2,SH1238253_08FU,global_fungi
4212,52.25,5.63,SH1238253_08FU,global_fungi
4213,49.30205489,16.65949322,SH1238253_08FU,global_fungi
4214,49.29036934,16.6192279,SH1238253_08FU,global_fungi
4215,55.95692068,12.27208167,SH1238253_08FU,global_fungi
4216,49.26745,16.678564,SH1238253_08FU,global_fungi
4217,52.25,5.63,SH1238253_08FU,global_fungi
4218,52.25,5.63,SH1238253_08FU,global_fungi
4219,55.95692068,12.27208167,SH1238253_08FU,global_fungi
4572,52.86242309,13.91724799,SH1238253_08FU,global_fungi
4705,55.69123563,9.752402725,SH1238253_08FU,global_fungi
4721,52.25,5.63,SH1238253_08FU,global_fungi
5000,55.20709468,8.950998317,SH1238253_08FU,global_fungi
5033,52.25,5.63,SH1238253_08FU,global_fungi
5209,50.1413,8.77,SH1238253_08FU,global_fungi
5402,46.33,15.2,SH1238253_08FU,global_fungi
5594,49.043133,13.617083,SH1238253_08FU,global_fungi
5716,52.25,5.63,SH1238253_08FU,global_fungi
6005,49.293659,16.660247,SH1238253_08FU,global_fungi
6009,49.30120689,16.64520046,SH1238253_08FU,global_fungi
6023,49.26745,16.678564,SH1238253_08FU,global_fungi
6870,55.56292804,8.080258493,SH1238253_08FU,global_fungi
7021,49.26374892,16.62371465,SH1238253_08FU,global_fungi
7598,56.28731419,10.47165215,SH1238253_08FU,global_fungi
7629,49.30599656,16.71357561,SH1238253_08FU,global_fungi
7725,46.33,15.2,SH1238253_08FU,global_fungi
7830,55.95692068,12.27208167,SH1238253_08FU,global_fungi
8129,52.25,5.63,SH1238253_08FU,global_fungi
8143,52.25,5.63,SH1238253_08FU,global_fungi
8291,56.24883484,8.507933548,SH1238253_08FU,global_fungi
8300,52.25,5.63,SH1238253_08FU,global_fungi
8358,55.60660146,9.693193422,SH1238253_08FU,global_fungi
8399,49.312548,16.645243,SH1238253_08FU,global_fungi
8532,55.20709468,8.950998317,SH1238253_08FU,global_fungi
8613,49.267661,16.66541,SH1238253_08FU,global_fungi
9195,49.275042,16.663103,SH1238253_08FU,global_fungi
9283,52.25,5.63,SH1238253_08FU,global_fungi
9359,55.61045139,9.689242409,SH1238253_08FU,global_fungi
9391,55.01130815,8.959030055,SH1238253_08FU,global_fungi
9393,57.64315915,10.40702263,SH1238253_08FU,global_fungi
9509,52.25,5.63,SH1238253_08FU,global_fungi
9745,49.259303,16.680125,SH1238253_08FU,global_fungi
9767,52.25,5.63,SH1238253_08FU,global_fungi
9872,52.25,5.63,SH1238253_08FU,global_fungi
9998,52.95172886,13.77802812,SH1238253_08FU,global_fungi
10011,37.99389,14.20639,SH1509022_08FU,global_fungi
10044,49.30563655,16.77064347,SH1509022_08FU,global_fungi
10275,49.31710896,16.61377858,SH1509022_08FU,global_fungi
10279,49.26936597,16.70553661,SH1509022_08FU,global_fungi
10280,49.26835436,16.6920829,SH1509022_08FU,global_fungi
10299,49.322883,16.697923,SH1509022_08FU,global_fungi
1030,49.27898345,16.71767847,SH1509022_08FU,global_fungi
10300,49.324902,16.724408,SH1509022_08FU,global_fungi
10307,49.30769876,16.61782192,SH1509022_08FU,global_fungi
10308,49.30907172,16.63047943,SH1509022_08FU,global_fungi
10312,49.323672,16.711066,SH1509022_08FU,global_fungi
10313,49.324902,16.724408,SH1509022_08FU,global_fungi
10317,49.27314193,16.6232342,SH1509022_08FU,global_fungi
10321,59.42275,24.6661,SH1509022_08FU,global_fungi
10337,49.277218,16.690847,SH1509022_08FU,global_fungi
10349,55.98726197,12.25085014,SH1509022_08FU,global_fungi
10350,55.98726197,12.25085014,SH1509022_08FU,global_fungi
10362,49.2822969,16.63458204,SH1509022_08FU,global_fungi
10363,49.285099,16.675754,SH1509022_08FU,global_fungi
10364,49.284314,16.661869,SH1509022_08FU,global_fungi
10367,49.28154739,16.62124157,SH1509022_08FU,global_fungi
10368,49.29034152,16.70662324,SH1509022_08FU,global_fungi
10369,49.28631,16.688937,SH1509022_08FU,global_fungi
10382,49.29718392,16.76218389,SH1509022_08FU,global_fungi
10395,49.27898345,16.71767847,SH1509022_08FU,global_fungi
10422,49.2790122,16.72763055,SH1509022_08FU,global_fungi
10429,49.2822969,16.63458204,SH1509022_08FU,global_fungi
10435,49.29718392,16.76218389,SH1509022_08FU,global_fungi
10436,49.29718392,16.76218389,SH1509022_08FU,global_fungi
10440,49.29718392,16.76218389,SH1509022_08FU,global_fungi
