,Covariates,Feature_Importance,iteration
1,CHELSA_BIO_Annual_Mean_Temperature,76.06833490961789,1
28,SG_SOC_Content_005cm,56.37582743622712,1
29,SG_Sand_Content_005cm,49.98940849226055,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,43.33936012410802,1
0,CGIAR_PET,30.931977208863767,1
30,SG_Soil_pH_H2O_005cm,25.86995836868844,1
18,EarthEnvTopoMed_Elevation,23.74626778720437,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,23.69319134856201,1
2,CHELSA_BIO_Annual_Precipitation,23.30180444538314,1
19,EarthEnvTopoMed_Slope,19.516177534671524,1
4,CHELSA_BIO_Precipitation_Seasonality,19.371433668053456,1
13,EarthEnvTexture_CoOfVar_EVI,18.866681235986672,1
25,MODIS_NPP,17.88834872836796,1
17,EarthEnvTopoMed_AspectSine,17.775889269924146,1
12,ConsensusLandCover_Human_Development_Percentage,16.748555707347407,1
15,EarthEnvTexture_Homogeneity_EVI,16.506964751239632,1
23,GlobBiomass_AboveGroundBiomass,14.78385708918605,1
14,EarthEnvTexture_Correlation_EVI,13.951312730436756,1
22,GHS_Population_Density,13.737240503377148,1
16,EarthEnvTopoMed_AspectCosine,13.09136208870297,1
11,ConsensusLandCoverClass_Shrubs,12.897795951678624,1
20,EarthEnvTopoMed_TopoPositionIndex,11.734175784720982,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,10.452185544236391,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,9.492563785607269,1
27,SG_Depth_to_bedrock,8.587466428052311,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,8.35592088149338,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,4.8939980163533905,1
21,EsaCci_BurntAreasProbability,4.46023809743432,1
5,ConsensusLandCoverClass_Barren,4.1745066047562895,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.8849348071624021,1
24,GlobPermafrost_PermafrostExtent,0.0,1
1,CHELSA_BIO_Annual_Mean_Temperature,76.06833490961789,1
28,SG_SOC_Content_005cm,56.37582743622712,1
