,Covariates,Feature_Importance,iteration
29,SG_Sand_Content_005cm,61.891648642824144,1
1,CHELSA_BIO_Annual_Mean_Temperature,59.79624573411274,1
28,SG_SOC_Content_005cm,59.6529218068007,1
30,SG_Soil_pH_H2O_005cm,45.741160204638135,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,40.910575887533746,1
18,EarthEnvTopoMed_Elevation,37.29604965452118,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,36.63780925333312,1
2,CHELSA_BIO_Annual_Precipitation,34.7165630840173,1
4,CHELSA_BIO_Precipitation_Seasonality,33.79946242381573,1
0,CGIAR_PET,32.813837268428216,1
25,MODIS_NPP,27.389060805413717,1
13,EarthEnvTexture_CoOfVar_EVI,26.921369814556375,1
12,ConsensusLandCover_Human_Development_Percentage,26.517864412871926,1
23,GlobBiomass_AboveGroundBiomass,25.706929404133366,1
21,EsaCci_BurntAreasProbability,25.251558475486277,1
17,EarthEnvTopoMed_AspectSine,24.79577974007758,1
20,EarthEnvTopoMed_TopoPositionIndex,24.74011052025729,1
14,EarthEnvTexture_Correlation_EVI,23.151083898807745,1
15,EarthEnvTexture_Homogeneity_EVI,22.883867279896666,1
11,ConsensusLandCoverClass_Shrubs,20.384414299382772,1
19,EarthEnvTopoMed_Slope,20.228094354717967,1
16,EarthEnvTopoMed_AspectCosine,20.11860638197149,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,16.974244129821038,1
22,GHS_Population_Density,13.31729643985912,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,12.713387092059618,1
27,SG_Depth_to_bedrock,12.55849421642659,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,8.124880845177653,1
5,ConsensusLandCoverClass_Barren,7.919823930173253,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,5.238961258637321,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,1.8017289911144472,1
24,GlobPermafrost_PermafrostExtent,0.0,1
1,CHELSA_BIO_Annual_Mean_Temperature,71.1133928003331,2
29,SG_Sand_Content_005cm,57.53759032737143,2
18,EarthEnvTopoMed_Elevation,49.95361618425988,2
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,47.826103396983626,2
28,SG_SOC_Content_005cm,46.60105869280836,2
2,CHELSA_BIO_Annual_Precipitation,45.553585078213565,2
10,ConsensusLandCoverClass_Mixed_Other_Trees,39.877788516280354,2
30,SG_Soil_pH_H2O_005cm,38.850309478278525,2
0,CGIAR_PET,37.68195895535436,2
25,MODIS_NPP,32.80573538178937,2
23,GlobBiomass_AboveGroundBiomass,31.359448455387298,2
12,ConsensusLandCover_Human_Development_Percentage,31.309087156587346,2
17,EarthEnvTopoMed_AspectSine,31.0905993624977,2
16,EarthEnvTopoMed_AspectCosine,30.606751645341877,2
13,EarthEnvTexture_CoOfVar_EVI,28.050241202625994,2
19,EarthEnvTopoMed_Slope,28.010345669870233,2
4,CHELSA_BIO_Precipitation_Seasonality,27.846109606721182,2
21,EsaCci_BurntAreasProbability,25.614196071778206,2
15,EarthEnvTexture_Homogeneity_EVI,24.913654220059065,2
11,ConsensusLandCoverClass_Shrubs,24.557483393487022,2
20,EarthEnvTopoMed_TopoPositionIndex,24.28937373399875,2
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,20.68341377756717,2
14,EarthEnvTexture_Correlation_EVI,18.078571276767704,2
22,GHS_Population_Density,17.23170336056054,2
27,SG_Depth_to_bedrock,15.01350636544307,2
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,13.12077533198328,2
9,ConsensusLandCoverClass_Herbaceous_Vegetation,10.119754797894881,2
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,7.767904588482619,2
5,ConsensusLandCoverClass_Barren,2.711210348152357,2
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,1.4565682351216753,2
24,GlobPermafrost_PermafrostExtent,0.0,2
1,CHELSA_BIO_Annual_Mean_Temperature,66.94650657225202,3
29,SG_Sand_Content_005cm,60.22074118431238,3
28,SG_SOC_Content_005cm,55.2961763582828,3
18,EarthEnvTopoMed_Elevation,46.969847515363696,3
2,CHELSA_BIO_Annual_Precipitation,41.37026328886554,3
30,SG_Soil_pH_H2O_005cm,40.730267012091055,3
0,CGIAR_PET,40.52514513907153,3
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,38.18100151164144,3
10,ConsensusLandCoverClass_Mixed_Other_Trees,35.300133957490004,3
25,MODIS_NPP,30.97680396919193,3
11,ConsensusLandCoverClass_Shrubs,30.05935697843025,3
4,CHELSA_BIO_Precipitation_Seasonality,29.85164136867063,3
19,EarthEnvTopoMed_Slope,27.76741986066551,3
14,EarthEnvTexture_Correlation_EVI,27.35412375057501,3
12,ConsensusLandCover_Human_Development_Percentage,26.41545341542204,3
23,GlobBiomass_AboveGroundBiomass,26.18226321195697,3
