,Covariates,Feature_Importance,iteration
1,CHELSA_BIO_Annual_Mean_Temperature,40.71008441361338,1
0,CGIAR_PET,36.1299092413067,1
28,SG_SOC_Content_005cm,31.750141612643915,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,30.61612321443387,1
29,SG_Sand_Content_005cm,22.86136348495522,1
4,CHELSA_BIO_Precipitation_Seasonality,17.999079972433506,1
11,ConsensusLandCoverClass_Shrubs,10.898151228213022,1
2,CHELSA_BIO_Annual_Precipitation,10.740130199213736,1
18,EarthEnvTopoMed_Elevation,9.548819383665814,1
15,EarthEnvTexture_Homogeneity_EVI,9.396516683962831,1
27,SG_Depth_to_bedrock,9.256477401237039,1
19,EarthEnvTopoMed_Slope,8.14376315103245,1
17,EarthEnvTopoMed_AspectSine,7.86698395160235,1
13,EarthEnvTexture_CoOfVar_EVI,7.795275989614391,1
30,SG_Soil_pH_H2O_005cm,7.686287355729821,1
16,EarthEnvTopoMed_AspectCosine,7.461186070445494,1
12,ConsensusLandCover_Human_Development_Percentage,7.416610675764554,1
25,MODIS_NPP,6.97800015304787,1
23,GlobBiomass_AboveGroundBiomass,6.764636723401987,1
20,EarthEnvTopoMed_TopoPositionIndex,5.628971997640555,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,4.765876494864052,1
14,EarthEnvTexture_Correlation_EVI,4.734729094297357,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,4.417338219182011,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,4.123166829878913,1
22,GHS_Population_Density,3.823361448688384,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,3.268866393071614,1
5,ConsensusLandCoverClass_Barren,2.5500873397700534,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.9905618130513952,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.5257194087962055,1
21,EsaCci_BurntAreasProbability,0.48896105161899805,1
24,GlobPermafrost_PermafrostExtent,0.03740026595744679,1
1,CHELSA_BIO_Annual_Mean_Temperature,38.53408850060045,2
0,CGIAR_PET,38.29969924694145,2
28,SG_SOC_Content_005cm,33.835168620187694,2
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,31.127227550274196,2
29,SG_Sand_Content_005cm,29.094287551846,2
4,CHELSA_BIO_Precipitation_Seasonality,14.365533570361647,2
2,CHELSA_BIO_Annual_Precipitation,13.091357544129423,2
23,GlobBiomass_AboveGroundBiomass,11.856703894124502,2
11,ConsensusLandCoverClass_Shrubs,9.30523776321999,2
27,SG_Depth_to_bedrock,9.074787494499807,2
22,GHS_Population_Density,8.925989920539223,2
30,SG_Soil_pH_H2O_005cm,8.748327041285082,2
18,EarthEnvTopoMed_Elevation,8.68277378322666,2
25,MODIS_NPP,7.360318859735906,2
15,EarthEnvTexture_Homogeneity_EVI,7.2401027496372485,2
13,EarthEnvTexture_CoOfVar_EVI,7.1304671594493545,2
10,ConsensusLandCoverClass_Mixed_Other_Trees,7.093212945574713,2
19,EarthEnvTopoMed_Slope,7.029102384204223,2
16,EarthEnvTopoMed_AspectCosine,6.262724575392549,2
14,EarthEnvTexture_Correlation_EVI,6.182531271999092,2
20,EarthEnvTopoMed_TopoPositionIndex,5.871580183384456,2
12,ConsensusLandCover_Human_Development_Percentage,5.76849928455883,2
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,5.74833078578243,2
